review_text,sentiment
I am addicted to this stuff. It leaves my skin feeling so moisturized and plump. It’s great for my sensitive skin. It’s definitely a skincare staple for me. Definitely will be stocking up on this stuff!,2
"This product did not work at all for me. After trying repeatedly over many nights I saw no difference in hydration. Honestly, I have better results using cheap lipbalm to help with the dryness of my lips.",0
I received this as a sample and I’m so glad I did! It’s so fresh and soothing to my face. I have really oily skin and I’m prone to acne. I’ve been using an exfoliant face wash I picked up at Whole Foods that I thought was great for my oily skin until I used this. I can feel such a difference in my skin when I use this compared to the one I’ve been using.,2
"From all the positive, glowing reviews, I really expected more and was disappointed! A thick coating of my cheap chapstick overnight does the same as the sleep mask and for a lot cheaper.I really wanted to love this product, but the price is not worth the average lip mask results, unfortunately.",1
I don’t get the hype especially for the price. honestly I felt like it made my lips dryer other times it was ok,1
LOVE this product. It makes my skin so soft and smells really good. I also happen to have lash extensions and haven’t had any issues with this cleanser.,2
My go-to lip balm. My lips are usually very dry and crack easily. I use this as a lip balm throughout the day and it does a great job. I absolutely love it.,2
I love this product! My night time routine is not complete without it!  It leaves your lips feeling so soft and smooth! It’s an essential in my skincare bag!,2
This product is not for me. I use several different peels and this one was extremely drying. My face felt like it was going to tear. After using my face felt rougher than before I used! Even after my regular use of moisturizer my face still felt extremely tight and unpleasant like it would tear. I would not purchase this product to use in the future.,0
I was so skeptical about this product that I didn’t try it for the longest time but now I’m kicking myself for not using it sooner!! It’s the middle of winter in Alberta so my lips are always dry and after 1 night of using this product my lips don’t even need chapstick they’re so baby soft and they look and feel plump and hydrated. Who knew!?,2
Extremely gentle on skin and your skin feels baby soft..highly recommended!!!,2
I love this product. I have used it for two weeks so far and within 2 days I my skin seemed brighter and smoother. * Smell is great* My skin feels very clean afterwards but not harsh clean* Leaves skin feeling very smooth* Removes makeup very well* Husband with sensitive skin is now using it and loves itI don’t find it removes my eye makeup well - I have to use another product for this.,2
"This product is a complete waste of money. I was so excited to try it b/c of all of the great blogger reviews but it does absolutely nothing. I put it on right after I’m done with my night skincare and getting into the bed and it has worn off before I even fall asleep. It is useless and I’m astonished that it has such amazing results. I think people are being tricked by the initial great thick consistency it has but it just sits on top of your lips, doesn’t actually do anything to nourish them.",0
"I love love this lip mask! Only solution to my dry lips that I’ve ever found. However, the gummy bear shade permanently stained my pillow sheets. I’ll be ordering the vanilla next time :)",2
"I struggled with such bad dry skin this year I couldn’t wear make up some days and I had such high hopes for this product but unfortunately it did nothing for me. It says it’s a cream but to me it is not very “cream“ like, its more like a very thin lotion and I did not like the medical like smell.",0
"My nose is always stuffed up because of my everlasting allergies. Which means I am a mouth breather, so my lips are always dry. I tried this lip mask and it leaves your lips so soft! I apply this not only at night, throughout the day works for me. There doesn’t seem to be a tint it goes on clear but that’s ok b/c I have pink lips anyway. My lips feel so moisturized.",2
"Tried the vanilla one first (sample), and bought the full size of the grapefruit. This is the best, most hydrating lip product I have ever used. The tub come with a lot of product and a little goes a long way. I use it every night and it makes my lips so smooth and ready for any lipstick in the morning. Buy it!",2
"I have high sensitive, allergy-prone skin, and often react to lip products. This one, however, is amazing! Wow. I have never had smooth, hydrated lips ever before, and now when I wake up in the morning after applying this- I have lips that don’t just look good and healthy, but feel that way too!",2
"Literally the best lip mask I have ever tried! I will only use this lip mask from now on because it makes my lips so soft and plump. It’s better than any other lip mask, lip balm, or Vaseline that I’ve used for my lips",2
"Needed a new face wash. I have sensitive skin and this definitely exceeded my expectation. My skin is smoother, even and my breakouts are minimal. Definitely will continue purchasing.",2
"So I have been using Noxzema for years but lately it’s been leaving my face dry, patchy, raised bumpls and just not fully clean. Which is the opposite of what this product is!! I LOVE IT! I have sensitive skin so I was scared to use it at first and I had tiny bumps on my cheeks from bacteria but this completely fixed those things it’s amazing! It’s hydrating, it smoothed my skin complexion, and it feels amazing. The smell is nice but may be  a little much for me. I’m not a huge fan of fragrance.  But I will be purchasing the larger one once it runs out!",2
This stuff works. I’ve been using this mask almost nightly for a couple of months now. My lips are far less chapped during the day and the skin just seems healthier. This mask never dries down though so its like going to bed with a super think layer of lip gloss on. It always gets on my hair or pillowcase but I can live with that.,2
"I have never left a review before but this deserves it! This is the only chapstick, balm, treatment that has gotten rid of my dry cracking lips while on Accutane. You won’t be disappointed!",2
I recently received this product and loved it! This helps eliminate fine lines without irritation. It also helped minimize the look of my pores and my skin was more radiant and soft to the touch.,2
"Im obsessed, got the birthday set to get the minis for travel. I use it morning, afternoon and night. pair this with the fresh lip scrub and you’ll thank me later!! xoxo.",2
"I am not sure why this product has achieved cult status. There are many FAB products I swear by (KP scrub, tinted moisturizer) but this one has not lived up to the hype for me.My skin is dry and prone to redness in the winter (frequent retinol use does not help.) And this cream just isn’t very moisturizing. This absorbs fast as advertised, but once it does, my skin feels just as dry/red as it was before. Plus, the eucalyptus oil can be irritating to sensitive skin. I can’t put this anywhere near my eyes. It’s a weird ingredient to have in a product advertised for such.I haven’t any horrible reactions and don’t hate anything about it, but if you are someone like me who is actually in need of “intense hydration“ that lasts this really doesn’t provide that. My redness is a result of rosacea, not eczema, so this hasn’t done anything to soothe it. Works fine as a general body/face lotion, but plenty of drug store products are as effective.",1
"I like the ease of use of these towelettes. It’s a very simple and very portable system, so it’s easy to keep up this regimen if traveling. I noticed a definite improvement in softness from this product. It did a nice job of gentle exfoliation with no irritation. It also didn’t cause flaking in my dry areas, like many chemical exfoliators do. It worked very well for me.",2
"It’s kinda crazy because I read the description and see the actives are lactic, glycolic, and salicylic acid, and I think — sO many products contain these nowadays, what’s so special??But if I could choose ONE product to use for the rest of my life, it would be this. It’s expensive, so I wish I didn’t love it, and I don’t usually use this everyday just because it is $$. However, if my skin ever goes slightly offside, this is the immediate fix. It helps with acne and scarring and overall complexion and brightness and texture and anything else you might ever experience problems with. Even when I would expect that using acids daily on some problematic/sensitive skin might set it off even more, it just doesn’t. If you have a very small specific problem area, or an overall really small face, you could make do by cutting the pads in half and sealing them away in a tight ziplock bag for the next day. I would give it 10 stars if I could.",2
"AMAZING! I get very lips from allergies and my night guard. I’ve used this 2 nights in a row and I LOVE IT! My lips are so soft when I wake up and not dry at all!! I love that it stays on all nite, and comes with the applicator (good for me cause I have long nails and I don’t get it all in my nails lol). I don’t really find it’s tastes like anything but I don’t wanna lick it off either lol ... but I can see the difference in the texture in my lips and feel it with no cracks... very very happy!!... you don’t need much so worth the money!!",2
"Amazing! Game changer. Transformed my lips. Usually very dry, but this takes care of the problem so quickly! Has a nice shine as well and smells great!",2
"Loved the samples I received enough to buy the full-size. While all the others smell great, that’s about all they have going for them imo; and they are all much more expensive when you factor in cost per gram. This one actually does what you would hope that it would. Put it on before bed and you have plump, moisturized lips upon waking up. I also apply a thin coat after I get out of the shower and let it soak in while I’m doing my makeup then blot any excess off before I apply my lipstick for the day. Or it’s nice as a clear, Moisturizing gloss for casual days. It’s not sticky or goopy and doesn’t make a mess on my pillow at night. It isn’t too thick or too thin. I love the original Berry scent but the full size I bought is in the Apple-Lime scent and I like it a lot too. Wish Sephora carried the Grapefruit scent. Highly recommend this product.",2
I absolutely love this mask for my lips. It was recommended my one of the Sephora employees and I am happy I purchased it.   It’s smells great and my lips feel soft and smooth. I actually apply this to my lips anytime of the day as a gloss.  I will purchase again and again,2
"Let me just add to the already amazing 7000+ reviews - WHY HAVE I NOT TRIED THIS SOONER?! so thankful I got a rouge gift set with a few Josie products inside and this is by far my favorite - my derm told me not to use oils on my sensitive and acne prone skin, but I had to try this one as I had tried all my other moisturizers to help combat my dryness after starting Differin and every other moisturizer I tried (all high quality from Sephora, “clean” and vegan, oil free, non oil free). I’ve also tried every other moisturizer imaginable I swear - you name it I tried it. This is the only ‘moisturizer’ I’ll use on my skin now. It doesn’t cause acne, it’s been two days and I already notice a huge difference! Love it so much! Never discontinueeee!",2
"I’ve been using this product over a year. It feels really nice on my lips and has a nice smell. However, I think this product doesn’t last over night. My lips are usually unaffected in the morning. Honestly it just doesn’t absorb as well as it should for the price. ps. vaseline works way better than this stuff",1
Got 3 samples and my acne scars look so much better already. I cannot wait to buy more!,2
"I was really excited to try this product but it honestly did nothing for me. The only thing that truly helps dry lips is drinking enough water, this mask just softens my lips for a couple hours.",0
"feels great when applied, but every single time I’ve used it i breakout and I’m not particularly acne prone. sadness, same thing happens when applied to body & face",0
"This is a great economical moisturizer of you want to use it for face or all over. Lasts a long time. Not greasy, light, doesn’t hurt the eyes if you get a little in there and easy to mix with serums. Wish they made one with spf",2
This stuff is a game changer! I suffered from horrible dry and cracked lips and nothing seemed to help. I thought I would give this a try based on reviews and I’m so glad I did! My lips felt better after the first night but after 4 days they were like brand new! My skin felt soft and hydrated and my lipstick looked so much better! Highly recommend!!!,2
"For those curious, the scent is cucumber, with a rose base. It’s clean but not as fresh as other cucumber scents, and a bit over-scented for a face wash in my view.",1
I got this in a set with the sleeping mask. Too sticky. Smell is nauseating. Really disappointing. Will never buy again.,0
"Oh this is yummy, hydrating and the perfect lip mask!! It comes with a little spatula to prevent fingers from contaminating the container. The amount of product is very generous, I barely made a dent and have been using is every day for a month. It’s a sweet smell and taste (duh, it’s called sweet candy!), perfectly hydrates my lips. It is thick though, it’s a night time lip mask. I wouldn’t wear this during the day. I’ve never had my lips so soft and subtle, I totally get the hype now! This should last me a year, so it’s worth every penny. I want other flavors!",2
I got incredibly lucky and found a 14oz tub of this product at TJ MAXX for $20. A total steal so if you’re there keep an eye out for it! This cream is amazing it absorbs super quickly but makes your skin so hydrated and plump and soft I am in love with it. The texture is so unique and this is the first First Aid Beauty product I’ve purchased and now I am looking forward to trying more from the brand. Great product no matter how dry your skin is!,2
Very drying and worstened my chapped lips. Thankfully I only got this as a sample. Such a shame because I love the sleeping mask. Sad to say their lip mask didn’t do me any good.,0
This lip mask is phenomenal!! I had super dry lips one second and the next they were glowly and smooth!!,2
The Alpha Beta Daily Peel worked ok for me. It does make your skin glow more & makes fine lines less noticeable. I don’t like the 2 step process though. I would like it a lot better if you could do this in one step.,1
"I took the 3 day Alpha Beta Daily Peel Challenge and even in the short amount of time I noticed a difference in my facal skin.i saw a noticeable smoothing of my fine lines and wrinkles,  and it brightened up my face.I also like that it’s vegan, cruelty-free, and uses recyclable packaging.",2
"Enjoyable berry power, moisturizing. Enjoyable to wear in the evening, to leave the lips feeling smooth and supple.",2
"Okay this product is amazing. I had a nasty cold sore ( stick with me it’s worth it) and so I normally use abreva on the cold sore but then I don’t put anything on my lips because I don’t want the abreva sliding around. The abreva took about a day to work( I got it early) but my lips were CRACKED. I mean it hurt to just peel the skin off. It was nasty. I remembered I had bought this and had it in my drawer and was waiting for an opportunity to use it. Lo and behold the time had come. I grabbed a swab and dunked it in and started going to town on my lips, gently. It took about a full minute but I was able to get the dry patches off with gentle side to side motions. I slathered on some more after and now I can’t believe how wonderful my lips look. The lines on the. Ha plumped up and it looks like lip gloss. I would wear this during the day as well.",2
This stuff is amazing! It makes your lips so soft.,2
My husband I used the alpha beta extra strength daily peel for 3 days and it made our skin feel super clean fresh. It helped him with his oly skin. He really saw a difference after a couple of days.,2
I’ve been using the Dr. Dennis Gross Skincare Alpha Beta Extra Strength Daily Peel for a few days and have noticed an incredible difference in my skin! I’ve already recommended it to my sister in law and other friends. This product leaves my skin super exfoliated and glowy. It also minimizes my pores and helps smooth out fine wrinkles!,2
"Evidently, no one has commented on this product in a year? I have used this product since it’s inception. I bought a brand new bottle recently and the smell was off, like sour, or rancid. It always had a subtle oil smell that was mild and natural like. It was never displeasing. Idk what is going on with the quality control, if any. I am sad to think they’ve cut corners and used something different to bulk-up the amount. I also purchased a bottle from another source and had the same outcome. I’m pretty bummed because this product used to rock!",0
I used this product for a month to give it a chance and it ALWAYS left my lips feeling extremely dry in the morning. I wish I could return it but it’s been a month now so I can’t. Don’t waste your money on this.,0
"I purchased this and was super excited to use it. I have extremely dry lips, regardless how much water or lip balm I use, so I was hopeful that this would be exactly what I needed. I read through reviews and decided to give it a shot. Welp, I returned it. It didn’t do anything for my lips, at all. My lips remained extremely dry, and gross. The stuff smells AMAZING! but, just not for me. Returned and back on the hunt for something for my dryness!!",0
The absolute best! I only use them once a week or even stretch to monthly use but they work instantly and give me the best skin for a while.  I have oily/ sensitive skin with clogged pores and some scarring from picking. These little pads even my tone and fade my discoloration. Even minimize the bumps. Make up application is effortless since theres less to hide and correct. I’ve had people ask me what I use for my face cus it looked really smooth and glowy. It hit me that it was because of these pads ! I buy the mini size and they last me quite a while. I will continue to purchase!,2
"It’s okay. I have mini sample from a Sephora Favorites kit. I’ve used it for about four weeks now. When I use it at night, I was gonna finding the next day, my lips were dry! To use this up, I started using in the morning and it won’t be a repurchase unfortunately.",1
This softened my skin maybe a little. Discoloration? Zero change. Fine lines? No change. Pores? No change. Sending it back.,0
"Have this in berry, thought id try this in gingersnap .. While i like that it leaves my lips very hydrated and soft, the scent is dissapointing.  Nothing like gingersnap. Smells slightly of caramel and is extremely light in scent.",1
"I’m not sure why people are saying this doesnt remove makeup or mascara well because I can tell you when you lather it up in your hands and really work it on your face it takes off allll the makeup and it’s also so gentle. I enjoy the fact that the scent of this is the same smell as the black tea instant perfecting mask which is also a staple in my routine.  I’d 100% recommend this face wash, cleans well without leaving your skin dry and yet also helps your complexion with brightening and seems to calm any breakouts you have.",2
"I can honestly state that this product is the best product for my skin that I have ever used. I will not be without it. Yes, it is pricey, but worth every cent. After a few uses, my skin looks younger and smoother. I get more compliments on my skin. A number of years ago I had a chemical peel on my face - with beautiful results. Now I get the same results with the Alpha Beta Peel without the pain and expense. I love this product and am never without it.",2
"It is the. best lip treatment I have ever tried. smooth lips, less lines and fuller lips",2
Literally love all of Laneige products. The lip sleeping mask has an amazing slip and it’s just the perfect overnight mask. Not sticky at all.,2
I got 3 packs as a reward and immediately noticed a difference the next day. Will definitely be buying some for optimal result. Highly recommended!,2
"Okay time for me to finally review this. I originally purchased this one year and three months ago and I’m still not done with the pot. I use it at least twice a day if not more and it’s amazing. It’s perfect for an overnight mask or to moisturize before a lip product. It’s much more hydrating than their glowy balm but that’s another good product. If for some reason you’re having a hard time purchasing, GO FOR IT! It is absolutely worth it, $20 for a years worth of amazing lip mask.",2
"I was pleasantly surprised with this product. After using my skin looked tighter and absolutely glowing. My skin is a little sensitive, and I found the first step to sting just a little, hence 4 stars instead of 5. However, once it started drying it was ok. I’ll definitely purchase this again!",2
"used 1-2 weeks. noticed little to no difference. very oily, to be expected but I felt it didnt absorb well, I feel the oil just disappeared yet my skin felt dry.",1
This is my favorite lip product ever (and I have tried A LOT of lip balms and masks)!! I first found it when I was taking accutane for my skin and my lips were incredibly dry. Using this overnight completely saved my lips and now it’s a staple for me!,2
This product has a fake strawberry plastic smell and it is no where near as hydrating as aquaphor. Pass!,0
"I never knew lip masks were a thing until I tried Laneige lip mask. LET ME TELL YOU my lips feel so soft and the lip mask’s amazing aroma and creamy texture encourages me to put this product onto my lips at night. My lips haven’t felt this good in years, NO MORE DRY CHAPPED UNCOMFORTABLE LIPS!",2
"Love this product!  I have large pores and this was recommended by a Sephora employee and after the first week, one of my coworkers and my nephew asked what i did different to my face.  such a big difference in my pores and overall appearance of my skin.  I use it everyday, but due to the cost I cut each pad in half so that my supply lasts longer.",2
"I really love this mask. I’ve used it on and off for a few years now and it’s served my lips well. What I will say is that it doesn’t stay on for very long (sometimes acts more like an intensive balm), and the amount of ingredients in it is questionable. However, a little goes a long way (making it worth the price) and I haven’t noticed any pore clogging around my lips. I hope an unscented one will be available in the future!",2
This lip mask is sooooo good!!! It’s is a necessity to life!!!,2
"I got a sample of this about four years ago and fell in love with it, and have since purchased it four times. One jar lasts me about 8-10 months. I use it twice a day (morning and before bed). Doesn’t feel sticky at all, makes my lips feel supple and nourished, and I love the very subtle pink tint. I rarely get dry lips any more. Love! Do yourself a favor and get this, because it’s a game changer!",2
"The best thing that has ever happened to my skin. I suffer from small bumps and severe dry patches, but this product has literally left my skin without those issues after even just the first use! I know that it’s pricey but it’s worth it, I use this every other day and have seen fantastic results. I will continue to purchase these forever!",2
"I have bought this lip mask twice now, and got the same results both times. The first time I bought it was back in 2019, and I noticed that every morning after using this product I would have a small pimple around my mouth. I’d wash my face and put an acne treatment on it that night, and it would disappear the next day or two; however, this was an annoying cycle that continued every time I used this lip mask. Flash forward to 2020, where I thought maybe it was user error, and I had been applying the mask too liberally. Yet again, no matter how carefully I applied the mask or how long I waited for it to absorb until I laid down on my pillow (I thought maybe it was smearing when I was moving around at night) there was still a new breakout around my face. Since it was the only new product I was using, and after I stopped using it I also no longer broke out around my lips, I easily attributed those breakouts to this mask. This is unfortunate because I loved the way it smelled, and it gave a nice shine to my lips - but it was nothing that Vaseline couldn’t accomplish.",1
Not for chronic dry lips. It made my lips worse. Return to the store after  trying for 3 nights in a row. Each morning my first thought was that my lips felt dry. Opposite of the purpose of a lip mask.Save your money and try a drugstore brand,0
"This cream is amazing for sensitive skin! The hydration does not leave a greasy feeling at all. Myself and my children tend to get eczema from time to time and this cream helps with the flare ups. Hydrating and simple, yet really effective!",2
"About to purchase my 4th 6 oz container. Shortly after giving birth my face would get super dry and red spots. I was trying all kinds of moisturizers and remedies. 6 years later of finding this product I haven’t looked back! No crazy breakouts, very smooth transition to my morning routine.",2
"I’m a big fan of intense hydrating lip treatments, however I can’t say that this product falls in that category for me personally. It smells incredible and feels really nice on, however it absorbs so fast causing me to reapply more than I would like. I wanted this to be a lip mask that I could apply before bed and wake up and still feel it sitting on my lips, but that didn’t happen. I wake up feeling like I need to apply something to lips ASAP because they feel dry. It absorbs far too quickly to make any difference in my lips and I can’t say that I would repurchase.",0
"Part of my nightly routine; I love the way it makes my lips look for even overnight. Not sticky, but smooth application. Will order again when I run out!",2
"When I use it I love it, it’s really gentle and I really feel my face clean afterwards, and not in a drying way. But a day or two after, every time I use it, I have break out, something that NEVER happens on me. It was sad to confirm it was due to this product, so I’m happy I used the bottle I had for my birthday from Sephora instead of purchasing it.",1
"I have extremely dry lips in the winter. Purchased this product for some relief, however, it didn’t do much of anything other than give me a rash",0
